Zona #,,Días de Carga ,Días de entrega 
08 San Carlos ,Rural ,Lunes -Miercoles-Viernes ,Martes-Jueves-Sabado
09 Limon ,Rural ,Lunes -Miercoles-Viernes ,Martes-Jueves-Sabado
29 Talamanca ,Rural ,jueves,viernes 
39 Sarapiqui ,Rural ,Miercoles ,Jueves 
10 Guanacaste Altura ,Rural ,Lunes -Miercoles,Martes-Jueves
11 Guanacaste Bajura,Rural ,Lunes -Miercoles,Martes-Jueves
12 Zona Sur ,Rural ,Lunes-Jueves ,Martes-Miercoles-Viernes-Sabado
13 Puntarenas ,Rural ,Martes-Jueves ,Miercoles-Viernes
15 Turrialba ,Rural ,Miercoles ,jueves 
16 Corralillo ,Rural ,Jueves ,viernes 
18 Zona sur ,Rural ,Lunes -Jueves ,Martes-Miercoles-Viernes-Sabado
20 Puriscal ,Rural ,Martes-Jueves ,Miercoles-viernes
Upala 31,Rural ,jueves,Viernes 
Puerto Jiménez 32,Rural ,Lunes ,Martes
33 Cartago Epa,GAM ,Viernes ,Lunes 
34 Escazú Epa,GAM ,Lunes ,Martes
35 Desamparados Epa,GAM ,Martes,Miercoles
36 Tibás Epa,GAM ,jueves,Viernes 
37 Curridabat Epa,GAM ,jueves,Viernes 
38 Belén Epa,GAM ,Miercoles ,Jueves 
1 Casco ,GAM ,Lunes a Viernes,
2 Desamparados ,GAM ,Lunes a Viernes,
3 Guadalupe ,GAM ,Lunes a Viernes,
4 Alajuela ,GAM ,Lunes a Viernes,
17 Grecia ,GAM ,Lunes a Viernes,
5 Heredia ,GAM ,Lunes a Viernes,
6 Cartago ,GAM ,Lunes a Viernes,
7 Carretera ,GAM ,Lunes a Viernes,
21 Casco ,GAM ,Lunes a Viernes,
22 Desampa ,GAM ,Lunes a Viernes,
23 Guadalupe ,GAM ,Lunes a Viernes,
25 Heredia ,GAM ,Lunes a Viernes,
26 Cartago ,GAM ,Lunes a Viernes,
44 REY,GAM ,Cita Previa,
